Feature,Importance
cat__Tags_Lost to EINS,8.481974223562714
cat__Tags_Closed by Horizzon,6.526091818610962
cat__Tags_Will revert after reading the email,4.864255025739612
cat__Tags_switched off,-3.1354094735145086
cat__Lead_Quality_Worst,-3.0325036931005687
cat__Tags_Unknown,3.013898277407842
cat__Tags_Ringing,-2.252714748677844
cat__Lead_Source_Welingak Website,1.8457311798940328
cat__Tags_wrong number given,-1.5459754901155716
cat__Asymmetrique_Activity_Index_03.Low,1.5278543456165303
cat__Last_Activity_Olark Chat Conversation,-1.377009385177771
cat__Lead_Profile_Unknown,-1.3668917903898545
cat__What_matters_most_to_you_in_choosing_a_course_Unknown,-1.3668917903898545
cat__Tags_invalid number,-1.3396192593576721
num__Total_Time_Spent_on_Website,1.278559013215777
cat__Lead_Profile_Student of SomeSchool,-1.2631428287905835
cat__Tags_Interested in other courses,-1.2296978882700458
cat__Asymmetrique_Activity_Index_02.Medium,1.2208873675057115
cat__Lead_Quality_Unknown,-1.1351230664017053
cat__Tags_Busy,1.0611225342756536
cat__Tags_number not provided,-1.0226440004486634
cat__Tags_opp hangup,-0.9338887495721903
cat__Lead_Source_Facebook,-0.9280334238396135
cat__Last_Notable_Activity_Modified,-0.9065109242464884
cat__Do_Not_Email_Yes,-0.9050322800960514
num__Asymmetrique_Activity_Score,0.8572054173468231
cat__City_Tier II Cities,0.8356403565777151
cat__Lead_Quality_Might be,-0.7911143941010373
cat__What_is_your_current_occupation_Unknown,-0.7897403472430283
cat__Tags_Interested  in full time MBA,-0.7792677081827831
cat__Last_Notable_Activity_SMS Sent,0.7658093991326124
cat__Last_Activity_Email Bounced,-0.7614866849945379
cat__Specialization_Unknown,-0.7453873210413557
cat__Last_Notable_Activity_Email Link Clicked,-0.74449681470786
cat__How_did_you_hear_about_X_Education_Multiple Sources,-0.7287869869637924
cat__Last_Notable_Activity_Olark Chat Conversation,-0.7172718699958244
cat__Asymmetrique_Activity_Index_Unknown,0.702255717803811
cat__Asymmetrique_Profile_Index_Unknown,0.702255717803811
cat__Lead_Origin_Landing Page Submission,-0.6907598105175256
cat__Last_Activity_Converted to Lead,-0.6708137393205107
num__Is_SMS_Activity,0.6701316521886559
cat__Specialization_Travel and Tourism,-0.6604089688039088
cat__Lead_Profile_Select,-0.5739514072552677
cat__Last_Activity_Page Visited on Website,-0.537010843447111
cat__Tags_Diploma holder (Not Eligible),-0.5014707929742462
cat__Lead_Origin_Lead Import,-0.49155648789327294
cat__Country_India,-0.4880756048879079
cat__Tags_Not doing further education,-0.4293577803342316
cat__Lead_Quality_Not Sure,-0.4258845855142539
cat__How_did_you_hear_about_X_Education_Other,-0.4253000609824
cat__Country_Saudi Arabia,-0.41646515191533545
cat__How_did_you_hear_about_X_Education_Select,-0.4070062853550235
cat__Tags_Graduation in progress,0.3738403583719696
cat__Lead_Source_Reference,-0.3589069083990923
cat__Tags_Lateral student,0.34761427589833244
cat__Specialization_Business Administration,0.3306478735344331
cat__Specialization_Media and Advertising,-0.326782853315122
num__Avg_Time_Per_Visit,-0.2967163700410228
cat__City_Unknown,0.2823130764696581
cat__Specialization_E-Business,-0.28095285599594105
cat__Last_Notable_Activity_Had a Phone Conversation,0.23567314266746733
cat__Lead_Source_Referral Sites,-0.22839350652828902
num__Page_Views_Per_Visit,-0.19808539140175396
cat__Specialization_Retail Management,-0.19624542158128772
cat__Specialization_Hospitality Management,-0.1928828868417018
cat__Lead_Source_Organic Search,0.19193218118912556
cat__Specialization_Marketing Management,0.19105037591315124
cat__How_did_you_hear_about_X_Education_Unknown,0.16767753163605634
num__Lead_Number,0.16172932460950074
cat__Lead_Origin_Lead Add Form,0.15716363593520177
cat__A_free_copy_of_Mastering_The_Interview_Yes,-0.14753759389505977
cat__What_is_your_current_occupation_Unemployed,-0.14699773208048558
cat__Country_Germany,0.13089579336219456
cat__Lead_Profile_Other Leads,0.12586020365229628
cat__Last_Notable_Activity_Email Opened,-0.1214452498910608
cat__Lead_Quality_Low in Relevance,-0.11977023646623088
cat__Last_Activity_Unreachable,0.1147239945833679
cat__Tags_In confusion whether part time or DLP,0.10837495580475864
cat__Specialization_Select,-0.1021850999238442
num__TotalVisits,0.0994886916940883
cat__What_is_your_current_occupation_Working Professional,0.08685185864692287
cat__Tags_in touch with EINS,0.06306049061515132
cat__Lead_Profile_Lateral Student,0.05537081608930407
cat__How_did_you_hear_about_X_Education_Word Of Mouth,-0.052039413676385884
cat__Specialization_Rural and Agribusiness,-0.049188884370613195
cat__How_did_you_hear_about_X_Education_Student of SomeSchool,0.043716388390208166
cat__City_Other Metro Cities,-0.042466670941461594
cat__Country_United Arab Emirates,0.04195300660351244
cat__Specialization_Finance Management,0.0378410008175478
num__Is_Email_Activity,-0.033402221125052485
cat__City_Other Cities of Maharashtra,0.021609804200438235
cat__Lead_Source_Google,-0.01545880597617016
cat__Specialization_Healthcare Management,0.011762694956817189
num__Asymmetrique_Profile_Score,0.009577112534593545
cat__City_Select,-0.005178904745848995
cat__How_did_you_hear_about_X_Education_Online Search,-0.0031117097646573225
cat__Last_Activity_Had a Phone Conversation,0.0
cat__Last_Activity_Form Submitted on Website,0.0
cat__Last_Activity_Email Link Clicked,0.0
cat__Last_Activity_Email Received,0.0
cat__Last_Activity_Email Opened,0.0
cat__Lead_Profile_Potential Lead,0.0
cat__Last_Activity_SMS Sent,0.0
cat__Specialization_IT Projects Management,0.0
cat__Last_Activity_Unsubscribed,0.0
cat__Last_Activity_View in browser link Clicked,0.0
cat__Last_Activity_nan,0.0
cat__Lead_Source_welearnblog_Home,0.0
cat__Country_Australia,0.0
cat__Country_Bahrain,0.0
cat__Country_Bangladesh,0.0
cat__Country_Belgium,0.0
cat__Country_Canada,0.0
cat__Country_China,0.0
cat__Tags_Want to take admission but has financial problems,0.0
cat__Do_Not_Call_Yes,0.0
cat__Lead_Source_testone,0.0
cat__City_Other Cities,0.0
cat__Lead_Source_Olark Chat,0.0
cat__Last_Notable_Activity_Unreachable,0.0
cat__Last_Notable_Activity_Page Visited on Website,0.0
cat__Lead_Origin_Quick Add Form,0.0
cat__Lead_Source_Direct Traffic,0.0
cat__Last_Notable_Activity_Form Submitted on Website,0.0
cat__Last_Notable_Activity_Email Received,0.0
cat__Lead_Source_Live Chat,0.0
cat__Lead_Source_Press_Release,0.0
cat__City_Thane & Outskirts,0.0
cat__Asymmetrique_Profile_Index_03.Low,0.0
cat__Asymmetrique_Profile_Index_02.Medium,0.0
cat__Lead_Source_Unknown,0.0
cat__Lead_Source_WeLearn,0.0
cat__Lead_Source_bing,0.0
cat__Lead_Source_google,0.0
cat__Tags_University not recognized,0.0
cat__Country_Denmark,0.0
cat__Country_France,0.0
cat__Tags_Still Thinking,0.0
cat__How_did_you_hear_about_X_Education_SMS,0.0
cat__Country_South Africa,0.0
cat__Country_Sri Lanka,0.0
cat__What_is_your_current_occupation_Student,0.0
cat__What_is_your_current_occupation_Other,0.0
cat__What_is_your_current_occupation_Housewife,0.0
cat__Country_Sweden,0.0
cat__Country_Switzerland,0.0
cat__How_did_you_hear_about_X_Education_Social Media,0.0
cat__Country_Uganda,0.0
cat__Country_United Kingdom,0.0
cat__Tags_Shall take in the next coming month,0.0
cat__How_did_you_hear_about_X_Education_Email,0.0
cat__Country_United States,0.0
cat__Country_Unknown,0.0
cat__Specialization_Supply Chain Management,0.0
cat__Specialization_Services Excellence,0.0
cat__Country_unknown,0.0
cat__Specialization_E-COMMERCE,0.0
cat__Specialization_Operations Management,0.0
cat__Specialization_Human Resource Management,0.0
cat__Country_Singapore,0.0
cat__What_matters_most_to_you_in_choosing_a_course_Flexibility & Convenience,0.0
cat__Country_Russia,0.0
cat__Search_Yes,0.0
cat__Specialization_International Business,0.0
cat__Tags_Recognition issue (DEC approval),0.0
cat__Country_Ghana,0.0
cat__Tags_Lost to Others,0.0
cat__Country_Hong Kong,0.0
cat__Country_Indonesia,0.0
cat__Country_Kuwait,0.0
cat__Tags_Interested in Next batch,0.0
cat__Country_Malaysia,0.0
cat__Country_Netherlands,0.0
cat__Country_Nigeria,0.0
cat__Country_Oman,0.0
cat__Country_Philippines,0.0
cat__Country_Qatar,0.0
cat__Through_Recommendations_Yes,0.0
cat__Digital_Advertisement_Yes,0.0
cat__Newspaper_Yes,0.0
cat__X_Education_Forums_Yes,0.0
cat__Newspaper_Article_Yes,0.0
cat__Last_Notable_Activity_Unsubscribed,0.0
